Release_Date	Film	Production_Budget	Opening_WeekendDomestic	Box_OfficeWorldwide	Review_ScoreRotten_Tomatoes	phase
May 02, 2008	Iron Man	186	102	585	94	1
Jun. 13, 2008	The Incredible Hulk	138	55	266	67	1
May 07, 2010	Iron Man 2	170	128	621	72	1
May 06, 2011	Thor	150	66	449	77	1
Jul. 22, 2011	Captain America: The First Avenger	140	65	371	80	1
May 04, 2012	The Avengers	225	207	1515	91	1
May 03, 2013	Iron Man 3	200	174	1215	79	2
Nov. 08, 2013	Thor: The Dark World	150	86	645	67	2
Apr. 04, 2014	Captain America: The Winter Soldier	170	95	714	90	2
Aug. 01, 2014	Guardians of the Galaxy	170	94	771	92	2
May 01, 2015	Avengers: Age of Ultron	365	191	1395	76	2
Jul. 17, 2015	Ant-Man	130	57	519	83	2
May 06, 2016	Captain America: Civil War	250	179	1152	91	3
Nov. 04, 2016	Doctor Strange	165	85	676	89	3
May 05, 2017	Guardians of the Galaxy Vol 2	200	147	869	85	3
Jul. 07, 2017	Spider-Man: Homecoming	175	117	878	92	3
Nov. 03, 2017	Thor: Ragnarok	180	123	850	93	3
Feb. 16, 2018	Black Panther	200	202	1336	96	3
Apr. 27, 2018	Avengers: Infinity War	300	258	2048	85	3
Jul. 06, 2018	Ant-Man and the Wasp	130	76	623	87	3
Mar. 08, 2019	Captain Marvel	175	153	1130	79	3
Apr. 26, 2019	Avengers: Endgame	400	357	2789	94	3
Jul. 02, 2019	Spider-Man: Far From Home	160	93	1132	90	3
Jul. 09, 2021	Black Widow	200	80	380	79	4
Sep. 03, 2021	Shang-Chi and the Legend of the Ten Rings	150	75	432	92	4
Nov. 05, 2021	Eternals	200	71	402	47	4
Dec. 17, 2021	Spider-Man: No Way Home	200	260	1908	93	4
May 06, 2022	Doctor Strange in the Multiverse of Madness	200	187	952	73	4
Jul. 08, 2022	Thor: Love and Thunder	250	144	761	63	4
Nov. 11, 2022	Black Panther: Wakanda Forever	250	181	854	83	4
Feb. 17, 2023	Ant-Man and the Wasp: Quantumania	200	106	464	46	5
May 05, 2023	Guardians of the Galaxy Vol 3	250	118	845	82	5
Nov. 10, 2023	The Marvels	275	46		61	5
