Hugo_Symbol,samples
TP53,3851
PIK3CA,1396
CSMD3,1351
RYR2,1305
ZFHX4,1039
SPTA1,930
PTEN,870
PCDH15,830
ARID1A,816
APC,815
KRAS,776
BRAF,770
DMD,749
CSMD2,743
COL11A1,700
RELN,692
HYDIN,684
ANK2,674
NAV3,661
FAM135B,651
ATRX,648
CACNA1E,647
PAPPA2,632
NF1,628
SI,626
TENM1,621
HUWE1,615
RP1,613
GPR112,606
MXRA5,606
KIAA1109,595
UNC13C,585
BIRC6,574
THSD7B,571
COL22A1,564
DCHS2,561
ATM,560
FBN2,559
FMN2,559
DSCAM,558
IDH1,553
CNTNAP5,551
ZNF536,549
PEG3,545
C1orf173,541
TENM3,539
PRKDC,539
VCAN,537
SVEP1,536
COL12A1,535
MGAM,534
MYH2,534
SPHKAP,532
FLG2,530
MYCBP2,526
LRRK2,526
CNTNAP2,525
MROH2B,524
PTPRT,523
NRXN1,522
DCC,520
BAI3,518
PTPRD,515
NBEA,515
PRUNE2,512
PXDNL,510
MUC4,508
SDK1,508
MYH1,508
TRRAP,507
ASXL3,505
PLXNA4,503
ADAMTS12,501
TPTE,501
CDH10,501
FLNC,498
UNC79,497
ABCA12,495
COL6A6,493
SCN1A,493
NPAP1,492
AKAP9,492
TNR,487
MYO18B,486
KMT2A,485
PRDM9,483
PCDH11X,482
GRIN2A,481
RIMS2,480
LRRC7,479
NALCN,479
DYNC1H1,477
WDFY3,477
MYH8,475
CREBBP,474
ZNF804A,474
TAF1L,473
HERC1,471
SCN10A,471
ANKRD30A,469
